date,event,pnl,num_expired
2022-02-07,expiry,-11.5,1
2022-02-09,expiry,144.0,4
2022-02-11,expiry,725.5,7
2022-02-14,expiry,2.5,5
2022-02-16,expiry,542.5,8
2022-02-18,expiry,421.5,9
2022-02-22,expiry,-302.5,4
2022-02-23,expiry,58.0,6
2022-02-25,expiry,848.5,9
2022-02-28,expiry,-103.0,7
2022-03-02,expiry,1744.0,8
2022-03-04,expiry,1520.5,11
2022-03-07,expiry,126.0,4
2022-03-09,expiry,666.0,5
2022-03-11,expiry,2005.0,8
2022-03-14,expiry,-364.5,6
2022-03-16,expiry,771.0,5
2022-03-18,expiry,1689.0,5
2022-03-21,expiry,-169.9970703125,6
2022-03-23,expiry,-129.0,3
2022-03-25,expiry,-94.0,2
2022-03-28,expiry,-235.0,6
2022-03-30,expiry,-138.5,5
2022-03-31,expiry,-89.0,3
2022-04-01,expiry,-27.0,1
2022-04-04,expiry,-43.5,2
2022-04-06,expiry,-58.5,3
2022-04-08,expiry,-67.0,2
2022-04-11,expiry,-175.0,8
2022-04-13,expiry,57.0,5
2022-04-14,expiry,43.5,4
2022-04-18,expiry,-113.0,5
2022-04-20,expiry,-68.0,4
2022-04-22,expiry,-956.99658203125,3
2022-04-25,expiry,-2.5,9
2022-04-27,expiry,137.0,11
2022-04-29,expiry,156.5,13
2022-05-02,expiry,261.5,8
2022-05-04,expiry,1756.0,10
2022-05-06,expiry,-480.0029296875,10
2022-05-09,expiry,-460.0,6
2022-05-11,expiry,755.0,10
2022-05-13,expiry,782.0,11
2022-05-16,expiry,-347.0,6
2022-05-18,expiry,-634.5029296875,6
2022-05-20,expiry,381.5,7
2022-05-23,expiry,-859.5,11
2022-05-25,expiry,-155.0,2
2022-05-31,expiry,-1228.500732421875,7
2022-06-01,expiry,-397.0,5
2022-06-03,expiry,-241.0,2
2022-06-06,expiry,-719.0,11
2022-06-08,expiry,-497.5,6
2022-06-10,expiry,31.500000000000007,5
2022-06-13,expiry,-831.0,14
2022-06-15,expiry,1716.0,10
2022-06-17,expiry,1012.98828125,10
2022-06-21,expiry,-845.5,10
2022-06-22,expiry,-88.0,2
2022-06-24,expiry,-62.0,4
2022-06-27,expiry,-861.0010986328125,6
2022-06-30,expiry,46.0,2
2022-07-05,expiry,-860.0,11
2022-07-06,expiry,-519.0,5
2022-07-08,expiry,-81.5,1
