date,event,pnl,num_expired
2022-07-06,expiry,-564.0,7
2022-07-08,expiry,780.0,15
2022-07-11,expiry,-171.5,3
2022-07-13,expiry,285.0,5
2022-07-15,expiry,784.0,11
2022-07-20,expiry,23.0,1
2022-07-22,expiry,340.0,10
2022-07-25,expiry,-207.5,6
2022-07-27,expiry,884.0,6
2022-07-29,expiry,2878.0,18
2022-08-01,expiry,-105.0,3
2022-08-03,expiry,-64.0,2
2022-08-05,expiry,146.5,8
2022-08-08,expiry,-429.5,12
2022-08-10,expiry,124.0,5
2022-08-12,expiry,430.0,10
2022-08-15,expiry,-111.99999999999999,3
2022-08-17,expiry,-40.5,2
2022-08-19,expiry,256.0,9
2022-08-22,expiry,-263.0,7
2022-08-24,expiry,-56.0,9
2022-08-26,expiry,108.49951171875,11
2022-08-29,expiry,-41.5,4
2022-08-31,expiry,225.0,7
2022-09-02,expiry,454.0,7
2022-09-06,expiry,-266.0,13
2022-09-07,expiry,-82.0,10
2022-09-09,expiry,436.5,15
2022-09-12,expiry,-61.4998779296875,5
2022-09-14,expiry,14.501220703125,9
2022-09-16,expiry,307.99951171875,15
2022-09-19,expiry,-566.0,17
2022-09-21,expiry,168.5,10
2022-09-23,expiry,271.0,10
2022-09-26,expiry,-341.5,7
2022-09-28,expiry,46.5,9
2022-09-30,expiry,427.4970703125,16
2022-10-03,expiry,-240.5,2
2022-10-05,expiry,110.5,4
2022-10-07,expiry,717.5,8
2022-10-10,expiry,-212.0,10
2022-10-12,expiry,-16.5,1
2022-10-14,expiry,1979.5,15
2022-10-17,expiry,24.0,2
2022-10-19,expiry,587.5,8
2022-10-21,expiry,1268.0,5
2022-10-24,expiry,-461.0,9
2022-10-26,expiry,76.0,7
2022-10-28,expiry,428.5,9
2022-10-31,expiry,-296.5,12
2022-11-02,expiry,212.49951171875,9
2022-11-04,expiry,1545.5,15
2022-11-07,expiry,-293.5,10
2022-11-09,expiry,359.50000000000006,6
2022-11-11,expiry,200.498046875,17
2022-11-14,expiry,-131.5,5
2022-11-16,expiry,459.5,7
2022-11-18,expiry,602.0,2
2022-11-21,expiry,-289.0,10
2022-11-22,expiry,-71.0,3
2022-11-23,expiry,-16.5,1
2022-11-25,expiry,-94.5,3
2022-11-28,expiry,-123.0003662109375,10
2022-11-29,expiry,-106.5,6
2022-11-30,expiry,44.5,5
