date,event,pnl,num_expired
2022-07-06,expiry,-370.0,7
2022-07-08,expiry,591.0,15
2022-07-11,expiry,-344.5,3
2022-07-13,expiry,114.5,3
2022-07-15,expiry,231.0,3
2022-07-18,expiry,-272.0,6
2022-07-22,expiry,252.5,8
2022-07-25,expiry,-195.0,4
2022-07-27,expiry,120.0,4
2022-07-29,expiry,699.5,10
2022-08-03,expiry,23.0,1
2022-08-05,expiry,143.0,2
2022-08-08,expiry,-228.0,5
2022-08-10,expiry,50.0,2
2022-08-12,expiry,138.0,5
2022-08-17,expiry,48.0,2
2022-08-19,expiry,201.0,5
2022-08-22,expiry,-115.0,4
2022-08-26,expiry,195.5,6
2022-08-29,expiry,-3.0000000000000018,4
2022-08-31,expiry,90.0,4
2022-09-02,expiry,71.0,1
2022-09-06,expiry,-230.5,9
2022-09-07,expiry,-142.5,5
2022-09-09,expiry,61.0,4
2022-09-12,expiry,-165.4998779296875,3
2022-09-14,expiry,90.5,5
2022-09-16,expiry,-181.00048828125,6
2022-09-19,expiry,-481.5,7
2022-09-21,expiry,307.50146484375,6
2022-09-23,expiry,11.5,1
2022-09-26,expiry,-384.0,14
2022-09-28,expiry,406.0,12
2022-09-30,expiry,-200.00439453125,17
2022-10-03,expiry,-12.5,1
2022-10-05,expiry,13.5,1
2022-10-07,expiry,98.0,2
2022-10-14,expiry,767.5000000000001,4
2022-10-17,expiry,37.5,3
2022-10-19,expiry,74.0,4
2022-10-21,expiry,1722.0,8
2022-10-24,expiry,402.99999999999994,1
2022-10-26,expiry,519.5,4
2022-10-28,expiry,778.5,8
2022-11-02,expiry,709.5,5
2022-11-04,expiry,1399.0,11
2022-11-11,expiry,2019.4990234375,12
2022-11-14,expiry,112.5,4
2022-11-15,expiry,11.5,1
2022-11-16,expiry,266.5,5
2022-11-17,expiry,14.500000000000002,1
2022-11-18,expiry,445.5,11
2022-11-23,expiry,32.5,3
2022-11-28,expiry,-10.500000000000002,1
2022-12-02,expiry,12.5,1
2022-12-14,expiry,712.5,3
2022-12-16,expiry,4383.4989013671875,11
2022-12-21,expiry,16.5,1
2022-12-22,expiry,22.0,1
2022-12-23,expiry,10.500000000000002,1
2022-12-27,expiry,-35.0,2
2022-12-29,expiry,10.500000000000002,1
2022-12-30,expiry,3691.5,5
2023-01-03,expiry,-24.0,2
2023-01-06,expiry,110.5,6
2023-01-12,expiry,149.5,4
2023-01-13,expiry,1646.5,9
2023-01-18,expiry,21.000000000000004,2
2023-01-19,expiry,63.5,5
2023-01-20,expiry,2141.49951171875,9
2023-01-23,expiry,-13.5,1
2023-01-25,expiry,21.000000000000004,2
2023-01-26,expiry,53.0,4
2023-01-27,expiry,1044.0,10
2023-02-01,expiry,67.5,4
2023-02-02,expiry,178.0,6
2023-02-03,expiry,669.0,15
2023-02-06,expiry,-37.0,2
2023-02-07,expiry,10.500000000000002,1
2023-02-09,expiry,21.000000000000004,2
2023-02-10,expiry,49.0,3
2023-02-13,expiry,-12.5,1
2023-02-14,expiry,296.5,9
2023-02-15,expiry,232.5,4
2023-02-16,expiry,303.5,6
2023-02-17,expiry,912.5,15
2023-02-21,expiry,-16.5,1
2023-02-23,expiry,24.0,2
2023-02-24,expiry,133.0,6
2023-02-27,expiry,-10.500000000000002,1
2023-02-28,expiry,30.0,2
2023-03-01,expiry,90.0,4
2023-03-02,expiry,-23.0,2
2023-03-03,expiry,-25.000000000000004,2
2023-03-06,expiry,-229.0,12
2023-03-07,expiry,20.500000000000004,5
2023-03-08,expiry,0.9999999999999982,2
2023-03-09,expiry,-9.500000000000004,3
2023-03-10,expiry,-2169.494873046875,10
2023-03-13,expiry,-33.0,2
2023-03-14,expiry,167.0,4
2023-03-15,expiry,158.0,3
2023-03-16,expiry,159.5,6
2023-03-17,expiry,475.5,13
2023-03-20,expiry,10.500000000000002,1
2023-03-21,expiry,78.0,4
2023-03-22,expiry,463.5,11
2023-03-23,expiry,375.0,8
2023-03-24,expiry,370.0,13
2023-03-27,expiry,32.0,2
2023-03-28,expiry,142.0,6
2023-03-29,expiry,116.5,5
2023-03-30,expiry,165.5,5
2023-03-31,expiry,340.0,14
2023-04-03,expiry,23.0,2
2023-04-04,expiry,34.5,3
2023-04-05,expiry,14.500000000000002,1
2023-04-06,expiry,89.0,5
2023-04-10,expiry,-67.5,6
2023-04-11,expiry,-92.0,6
2023-04-12,expiry,-10.500000000000002,1
2023-04-13,expiry,57.5,7
2023-04-14,expiry,226.0,10
2023-04-17,expiry,-24.0,2
2023-04-18,expiry,-25.0,2
2023-04-19,expiry,-11.5,1
2023-04-21,expiry,95.0,6
2023-04-24,expiry,-68.5,4
2023-04-25,expiry,-53.0,4
2023-04-26,expiry,-28.0,4
2023-04-27,expiry,7.5,3
2023-04-28,expiry,154.0,11
2023-05-03,expiry,80.5,5
2023-05-04,expiry,142.0,6
2023-05-05,expiry,558.0,11
2023-05-08,expiry,-16.5,1
2023-05-09,expiry,16.5,3
2023-05-10,expiry,62.5,3
2023-05-11,expiry,25.0,4
2023-05-12,expiry,127.5,6
2023-05-15,expiry,-13.5,1
2023-05-16,expiry,8.500000000000002,3
2023-05-17,expiry,37.5,5
2023-05-18,expiry,66.0,5
2023-05-19,expiry,119.5,12
2023-05-22,expiry,10.500000000000002,1
2023-05-23,expiry,11.5,1
2023-05-24,expiry,45.0,4
2023-05-25,expiry,89.5,5
2023-05-26,expiry,207.0,11
2023-05-30,expiry,80.0,6
2023-05-31,expiry,86.5,4
2023-06-01,expiry,169.0,6
2023-06-02,expiry,270.0,10
2023-06-05,expiry,11.5,1
2023-06-07,expiry,44.0,4
2023-06-08,expiry,43.5,3
2023-06-09,expiry,72.5,5
2023-06-12,expiry,30.0,2
2023-06-13,expiry,52.5,2
2023-06-14,expiry,185.0,8
2023-06-15,expiry,183.0,9
2023-06-16,expiry,286.0,18
2023-06-20,expiry,-65.0,4
2023-06-21,expiry,-22.5,3
2023-06-22,expiry,-15.499999999999998,3
2023-06-23,expiry,-14.5,3
2023-06-26,expiry,-61.0,4
2023-06-30,expiry,59.5,5
2023-07-03,expiry,-10.500000000000002,1
2023-07-05,expiry,-12.5,1
2023-07-06,expiry,-10.500000000000002,1
2023-07-07,expiry,-81.0,10
2023-07-12,expiry,13.5,1
2023-07-13,expiry,41.5,3
2023-07-14,expiry,-96.0,8
2023-07-17,expiry,30.0,2
2023-07-18,expiry,65.5,3
2023-07-19,expiry,82.5,3
2023-07-20,expiry,22.0,2
2023-07-21,expiry,57.5,5
2023-07-24,expiry,25.0,2
2023-07-25,expiry,14.500000000000002,1
2023-07-26,expiry,67.0,4
2023-07-27,expiry,104.0,6
2023-07-28,expiry,108.0,8
2023-07-31,expiry,12.5,1
2023-08-01,expiry,16.5,1
2023-08-02,expiry,30.0,4
2023-08-03,expiry,49.5,2
2023-08-04,expiry,137.5,9
2023-08-07,expiry,-26.0,2
2023-08-08,expiry,-11.5,1
2023-08-09,expiry,10.500000000000002,3
2023-08-10,expiry,180.5,8
2023-08-11,expiry,169.0,10
2023-08-14,expiry,-26.0,2
2023-08-15,expiry,11.499999999999998,3
2023-08-16,expiry,42.5,3
2023-08-17,expiry,18.5,1
2023-08-18,expiry,42.00000000000001,10
2023-08-21,expiry,-38.5,5
2023-08-22,expiry,-11.5,1
2023-08-23,expiry,-21.000000000000004,2
2023-08-24,expiry,10.500000000000002,1
2023-08-25,expiry,75.0,5
2023-08-28,expiry,-48.0,4
2023-08-29,expiry,-37.5,3
2023-08-30,expiry,-11.5,1
2023-08-31,expiry,-23.0,2
2023-09-01,expiry,-26.0,3
2023-09-05,expiry,-46.0,3
2023-09-06,expiry,-26.0,2
2023-09-07,expiry,-11.5,1
2023-09-08,expiry,-41.5,3
2023-09-11,expiry,-24.0,2
2023-09-12,expiry,10.500000000000002,1
2023-09-15,expiry,249.5,15
2023-09-21,expiry,22.0,2
2023-09-22,expiry,17.5,13
2023-09-25,expiry,-13.5,1
2023-09-27,expiry,1.0000000000000018,2
2023-09-28,expiry,-1.9999999999999982,2
2023-09-29,expiry,-21.5,6
2023-10-02,expiry,-35.50000000000001,3
2023-10-03,expiry,-26.0,2
2023-10-04,expiry,-27.0,2
2023-10-05,expiry,-17.5,1
2023-10-06,expiry,24.500000000000004,13
2023-10-09,expiry,-75.5,5
2023-10-10,expiry,-36.5,3
2023-10-11,expiry,-23.0,2
2023-10-12,expiry,24.0,6
2023-10-13,expiry,108.0,8
2023-10-16,expiry,10.500000000000002,1
2023-10-17,expiry,161.5,8
2023-10-18,expiry,78.5,5
2023-10-19,expiry,102.5,7
2023-10-20,expiry,279.5,6
2023-10-23,expiry,64.5,7
2023-10-24,expiry,6.999999999999998,2
2023-10-25,expiry,-11.5,1
2023-10-26,expiry,-11.5,1
2023-10-27,expiry,10.500000000000002,3
2023-10-30,expiry,-127.5,8
2023-10-31,expiry,-108.0,6
2023-11-01,expiry,-29.0,4
2023-11-02,expiry,46.0,6
2023-11-03,expiry,128.0,8
2023-11-06,expiry,440.000244140625,2
2023-11-09,expiry,24.0,4
2023-11-10,expiry,52.0,6
2023-11-13,expiry,-59.999755859375,6
2023-11-14,expiry,720.002197265625,2
2023-11-15,expiry,23.0,2
2023-11-16,expiry,72.0,6
2023-11-17,expiry,148.5,13
2023-11-20,expiry,12.5009765625,1
2023-11-24,expiry,-38.0,6
2023-11-27,expiry,-58.0,4
2023-11-28,expiry,-60.0,4
2023-11-29,expiry,-10.500000000000002,1
2023-12-01,expiry,-57.5,5
2023-12-04,expiry,-12.5,1
2023-12-06,expiry,23.0,2
2023-12-07,expiry,34.5,2
2023-12-08,expiry,112.0,7
2023-12-11,expiry,33.5,3
2023-12-13,expiry,44.0,2
2023-12-14,expiry,22.0,2
2023-12-15,expiry,358.5,18
2023-12-18,expiry,-48.5,3
2023-12-22,expiry,3.5000000000000036,3
2023-12-26,expiry,11.499999999999998,5
2023-12-27,expiry,52.0,4
2023-12-28,expiry,47.5,3
2023-12-29,expiry,31.5,5
2024-01-02,expiry,-10.500000000000002,1
2024-01-03,expiry,10.5,3
2024-01-04,expiry,13.5,1
2024-01-05,expiry,51.5,8
2024-01-08,expiry,225.5006103515625,3
2024-01-09,expiry,24.0,4
2024-01-10,expiry,17.5,3
2024-01-11,expiry,40.0,2
2024-01-12,expiry,32.5,3
2024-01-16,expiry,-27.0,2
2024-01-17,expiry,-1.9999999999999964,4
2024-01-18,expiry,23.0,2
2024-01-19,expiry,23.0,7
2024-01-22,expiry,-5.0,2
2024-01-23,expiry,13.5,1
2024-01-24,expiry,34.5,3
2024-01-25,expiry,14.500000000000002,1
2024-01-26,expiry,57.0,6
2024-01-29,expiry,11.5,1
2024-01-31,expiry,81.0,5
2024-02-01,expiry,102.0,4
2024-02-02,expiry,208.498779296875,15
2024-02-05,expiry,-45.5,5
2024-02-07,expiry,24.0,2
2024-02-08,expiry,3.0,2
2024-02-09,expiry,33.5,5
2024-02-13,expiry,10.500000000000002,3
2024-02-14,expiry,36.0,2
2024-02-15,expiry,75.0,6
2024-02-16,expiry,61.0,11
2024-02-21,expiry,11.5,1
2024-02-22,expiry,77.50000000000001,7
2024-02-23,expiry,144.0,10
2024-02-26,expiry,-11.5,1
2024-02-28,expiry,2.5000000000000036,3
2024-02-29,expiry,87.0,6
2024-03-01,expiry,100.0,10
2024-03-04,expiry,-33.0,2
2024-03-05,expiry,-2.0,2
2024-03-06,expiry,11.5,1
2024-03-08,expiry,86.5,9
2024-03-11,expiry,-21.0,4
2024-03-12,expiry,27.0,2
2024-03-13,expiry,34.0,4
2024-03-14,expiry,94.0,5
2024-03-15,expiry,229.5,14
2024-03-18,expiry,21.000000000000004,2
2024-03-19,expiry,10.500000000000002,1
2024-03-20,expiry,10.500000000000002,1
2024-03-21,expiry,50.0,4
2024-03-22,expiry,155.5,10
2024-03-25,expiry,1.0,2
2024-03-26,expiry,28.5,4
2024-03-27,expiry,24.5,2
2024-03-28,expiry,91.5,7
2024-04-01,expiry,-29.0,4
2024-04-02,expiry,-53.0,4
2024-04-03,expiry,-20.5,3
2024-04-04,expiry,25.0,2
2024-04-05,expiry,142.5,10
2024-04-08,expiry,-17.5,1
2024-04-10,expiry,58.5,5
2024-04-11,expiry,157.5,8
2024-04-12,expiry,359.0,10
2024-04-15,expiry,-10.500000000000002,1
2024-04-16,expiry,53.0,6
2024-04-17,expiry,51.5,5
2024-04-18,expiry,60.5,4
2024-04-19,expiry,66.5,5
2024-04-22,expiry,-67.5,5
2024-04-23,expiry,-10.500000000000002,1
2024-04-24,expiry,-10.500000000000002,1
2024-04-25,expiry,-14.500000000000002,1
2024-04-26,expiry,109.0,8
2024-04-29,expiry,-156.5,8
2024-04-30,expiry,-104.5,6
2024-05-01,expiry,36.0,4
2024-05-02,expiry,24.0,2
2024-05-03,expiry,249.5,13
2024-05-06,expiry,18.500732421875,3
2024-05-07,expiry,-13.5,1
2024-05-08,expiry,-12.5,1
2024-05-09,expiry,6.498291015624998,1
2024-05-10,expiry,-52.0,4
2024-05-13,expiry,-53.002685546875,8
2024-05-14,expiry,-52.0,4
2024-05-15,expiry,162.0,7
2024-05-16,expiry,49.5,3
2024-05-17,expiry,72.5,4
2024-05-20,expiry,-42.5,3
2024-05-24,expiry,10.500000000000002,1
2024-05-28,expiry,-43.5,2
2024-05-29,expiry,-10.500000000000002,1
2024-05-30,expiry,-11.5,1
2024-05-31,expiry,-220.0,10
2024-06-03,expiry,-12.5,1
2024-06-04,expiry,-10.500000000000002,1
2024-06-05,expiry,53.498291015625,1
2024-06-06,expiry,14.500000000000002,1
2024-06-07,expiry,-35.5,7
2024-06-10,expiry,-34.0,2
2024-06-11,expiry,-14.500000000000002,1
2024-06-12,expiry,39.50000000000001,2
2024-06-13,expiry,38.5,2
2024-06-14,expiry,31.0,5
2024-06-21,expiry,-74.5,2
2024-06-24,expiry,-35.50000000000001,3
2024-06-25,expiry,-11.5,1
2024-06-26,expiry,-12.5,1
2024-06-28,expiry,-140.0,14
2024-07-01,expiry,11.5,1
2024-07-03,expiry,-10.500000000000002,1
2024-07-05,expiry,-63.5,7
2024-07-08,expiry,-80.0,3
2024-07-09,expiry,-89.0,2
2024-07-10,expiry,470.0029296875,3
2024-07-12,expiry,6.999999999999998,2
2024-07-15,expiry,-51.0,3
