date,historical_equity,vol_surface_equity
2024-05-31,107217.23398233797,109258.71827197037
2024-06-03,107208.81204168484,109204.59847141939
2024-06-04,107216.43183366483,109230.46105160232
2024-06-05,107115.99708157005,108233.56173373618
2024-06-06,107114.15776613246,108221.29854599462
2024-06-07,107122.69867492966,108306.10146726861
2024-06-10,107146.96983302703,108391.46872944942
2024-06-11,107124.99484057123,108178.85180417914
2024-06-12,107192.66674917932,108204.61862197187
2024-06-13,107173.81965947617,108011.15328545793
2024-06-14,107241.30388286427,108309.13823903486
2024-06-17,107171.65149203864,107506.08204569419
2024-06-18,107191.79294694644,107580.23443886265
2024-06-19,107190.06759437261,107566.60358727894
2024-06-20,107164.90737031861,107437.78836225127
2024-06-21,107278.34978094818,107642.9560397949
2024-06-24,107248.79771836678,107441.42251310188
2024-06-25,107214.21808291484,107115.35468008419
2024-06-26,107223.19930733487,107175.37882693061
2024-06-27,107207.95730301917,107035.9327808636
2024-06-28,107326.42259498916,106595.17936460699
2024-07-01,107306.09420187098,106419.7744848591
2024-07-02,107362.10100058196,106965.6014791592
2024-07-03,107321.83971858742,106613.12281597553
2024-07-05,107370.12059926063,107109.88924934529
2024-07-08,107358.30961948626,107003.87107440433
2024-07-09,107365.05579286089,107072.02633486484
2024-07-10,107276.8022565739,106397.00225444668
2024-07-11,107198.91161200672,105706.71753591925
2024-07-12,107164.95497353302,105306.93124820275
2024-07-15,107187.41549578261,105512.32149564102
2024-07-16,107133.27489329968,105178.48512671492
2024-07-17,107006.93093379115,104285.78394805425
2024-07-18,107072.49617761973,104726.16524256447
2024-07-19,107067.0354651462,104386.38008623416
2024-07-22,106975.7863632959,103799.11379339427
2024-07-23,106960.358172134,103697.23911083107
2024-07-24,107156.00591655706,104997.23602561987
2024-07-25,107109.94974878254,104692.58762153545
2024-07-26,107059.41456890854,104053.99876145215
2024-07-29,107062.73509685835,104075.97830265106
2024-07-30,107104.43147616321,104351.83539875213
2024-07-31,107241.29198419637,105265.65809822027
2024-08-01,107362.23913874957,106066.98053079275
2024-08-02,107201.5191046218,104992.34107636308
2024-08-05,107443.94483735792,106598.09855606762
2024-08-06,107517.34118946585,107088.38701117845
2024-08-07,107570.59093391422,107441.08079518273
2024-08-08,107757.54139716577,108685.34164668818
2024-08-09,107719.06870119474,108430.18320413423
2024-08-12,107772.7964633021,108754.57017423652
2024-08-13,107633.18342432618,107980.5976564725
2024-08-14,107658.37391134341,108129.87898916789
2024-08-15,107510.07663585851,107486.15674653245
2024-08-16,107723.20621242498,107693.06005930496
2024-08-19,107648.27753538192,107383.10226106152
2024-08-20,107634.55037119356,107288.60322282184
2024-08-21,107606.84303861785,107180.90851297755
2024-08-22,107546.7060119684,106816.59103183365
2024-08-23,107465.96602967805,106601.51931918906
2024-08-26,107446.5381590436,106705.65017880424
2024-08-27,107434.72142603884,106673.31258281946
2024-08-28,107389.62763107373,106462.4165286672
2024-08-29,107387.4644703047,106455.14318701049
2024-08-30,107565.30540073429,106947.90603786975
2024-09-02,107563.79771089228,106943.16432395534
2024-09-03,107407.36470317347,106672.96500467794
2024-09-04,107421.00009759887,106699.48999643467
2024-09-05,107401.62719440722,106665.23416887385
2024-09-06,107611.62624745462,107196.63760262151
2024-09-09,107690.72865024624,107397.45447890682
2024-09-10,107657.37489951924,107328.98262085934
