date,underlying_price,day_type,historical_iv,vol_surface_iv
2023-08-18,436.5,option_trading,0.10006805557881951,0.336281975560196
2023-08-21,439.3399963378906,option_trading,0.09975130728305114,0.09548454640972595
2023-08-23,443.0299987792969,option_trading,0.09680989103634682,0.16647204846812483
2023-08-25,439.9700012207031,option_trading,0.1073261671669723,0.09041153807897989
2023-08-28,442.760009765625,option_trading,0.10914568762083182,0.07710216669746907
2023-08-30,451.010009765625,option_trading,0.11712332086035877,0.053283531465772735
2023-09-01,451.19000244140625,option_trading,0.11636454687417715,0.47423982289917693
2023-09-04,451.19000244140625,option_trading,0.11569154001459903,0.17347366244102785
2023-09-06,446.2200012207031,option_trading,0.11593917469008391,0.16068170849869087
2023-09-08,445.5199890136719,option_trading,0.11621668059133611,0.21088743319734402
2023-09-11,448.45001220703125,option_trading,0.11209054023306926,0.16965256244790522
2023-09-13,446.510009765625,option_trading,0.11466141591240235,0.16579611769828667
2023-09-15,443.3699951171875,option_trading,0.1102123868815746,0.18447145984443247
2023-09-18,443.6300048828125,option_trading,0.1189498384027496,0.11942717346119386
2023-09-20,438.6400146484375,option_trading,0.11533345172829135,0.12274321012552558
2023-09-22,430.4200134277344,option_trading,0.12601681437028517,0.3524910414029513
2023-09-25,432.2300109863281,option_trading,0.12604621799084909,0.15954970920732006
2023-09-27,426.04998779296875,option_trading,0.12809537413097963,0.08842494128674178
2023-09-29,427.4800109863281,option_trading,0.12677385042798503,0.368632848652615
2023-10-02,427.30999755859375,option_trading,0.12683676199365035,0.11191125155233315
2023-10-04,424.6600036621094,option_trading,0.1302053347389342,0.15715496047969735
2023-10-06,429.5400085449219,option_trading,0.12155346334272348,0.11015767136484378
2023-10-09,432.2900085449219,option_trading,0.12515225000936217,0.10845294294781893
2023-10-11,436.32000732421875,option_trading,0.11788854544805483,0.1594863233006194
2023-10-13,431.5,option_trading,0.11878780900118259,0.08550733965155018
2023-10-16,436.0400085449219,option_trading,0.11886284694717446,0.19861343725345543
2023-10-18,430.2099914550781,option_trading,0.12242536228690018,0.15302271934585177
2023-10-20,421.19000244140625,option_trading,0.1295135528257161,0.09901737790081758
2023-10-23,420.4599914550781,option_trading,0.13091040049240188,0.20833287947464565
2023-10-25,417.54998779296875,option_trading,0.1332279981559621,0.17977805614787412
2023-10-27,410.67999267578125,option_trading,0.1316010159853237,0.12148382761105958
2023-10-30,415.5899963378906,option_trading,0.13139233480157012,0.19348573940266456
2023-11-03,434.69000244140625,option_trading,0.14710615937036328,0.4808894738000561
2023-11-06,435.69000244140625,option_trading,0.14904456632681035,0.13653277018966342
2023-11-09,433.8399963378906,option_trading,0.14124262175608884,0.1319110295299714
2023-11-10,440.6099853515625,option_trading,0.14320114073099413,0.0831415942106448
2023-11-13,440.19000244140625,option_trading,0.14979703052302146,0.12644935605474264
2023-11-16,450.2300109863281,option_trading,0.15153197907759117,0.12972517492260094
2023-11-17,450.7900085449219,option_trading,0.14854394676493723,0.08918271491409419
2023-11-20,454.260009765625,option_trading,0.14783274053288012,0.1261125704934757
2023-11-21,453.2699890136719,option_trading,0.1485760592251217,0.11372072133058153
2023-11-22,455.0199890136719,option_trading,0.1487541656971696,0.116699321469958
2023-11-24,455.29998779296875,option_trading,0.14716737775382333,0.061126469012734386
2023-11-27,454.4800109863281,option_trading,0.1458084631480594,0.10376914365430472
2023-11-29,454.6099853515625,option_trading,0.1436920514385707,0.10813183712255348
2023-12-01,459.1000061035156,option_trading,0.13265736622304378,0.04730306308678209
2023-12-04,456.69000244140625,option_trading,0.12514721310534044,0.11294818129114065
2023-12-06,454.760009765625,option_trading,0.12624801389997786,0.17894020161115462
2023-12-08,460.20001220703125,option_trading,0.10834733370279347,0.09292982622566223
2023-12-11,461.989990234375,option_trading,0.10544696388938089,0.1647258948428285
2023-12-13,470.5,option_trading,0.10234368120448156,0.16369666829058385
2023-12-15,469.3299865722656,option_trading,0.09364384909646419,0.18660853333732316
2023-12-18,471.9700012207031,option_trading,0.09533928488316411,0.11633419488345975
2023-12-20,468.260009765625,option_trading,0.09622489322141956,0.11142424794446214
2023-12-22,473.6499938964844,option_trading,0.10545817308379693,0.227719970579283
2023-12-25,473.6499938964844,option_trading,0.09829059841482032,0.1474260090031102
2023-12-27,476.510009765625,option_trading,0.09783889657857818,0.14620381062815055
2023-12-29,475.30999755859375,option_trading,0.08394552814261655,0.07440116803923831
2024-01-01,475.30999755859375,option_trading,0.08516454246365805,0.01
2024-01-03,468.7900085449219,option_trading,0.08796942376719243,0.11419483827340364
2024-01-05,467.9200134277344,option_trading,0.09096029598791483,0.07187477342615757
2024-01-08,474.6000061035156,option_trading,0.09056504820533903,0.11724656506116961
2024-01-10,476.55999755859375,option_trading,0.0984824353279671,0.13147079404793344
2024-01-12,476.67999267578125,option_trading,0.0991894642474742,0.060892247257128634
