date,historical_equity,GARCH_equity,XGB_equity
2021-02-08,449827.62497261126,526168.5970278031,478732.5455607072
2021-02-09,449826.2296000676,526103.9057131272,478727.5477971868
2021-02-10,449966.2072282076,526032.1110590118,478922.83247817424
2021-02-11,449916.99038173107,525519.1476342126,478864.60155574704
2021-02-12,450036.4230756194,524062.51354183786,479063.33683678205
2021-02-16,449930.19186757796,523710.14799860463,478974.5157428073
2021-02-17,449931.7769227192,523590.9626070502,479107.6285072316
2021-02-18,450027.1175167206,523665.05590667785,479128.1791526684
2021-02-19,450298.9897166488,523926.190358507,479589.5789783519
2021-02-22,450486.03325705224,524062.3336902349,479767.4889430927
2021-02-23,450582.062462669,524140.53284770367,479853.1124670954
2021-02-24,450650.95880628884,524320.622140292,480042.4816347883
2021-02-25,448772.4592268282,521937.10939115204,477502.7668747988
2021-02-26,450484.97084095736,524132.71912591497,479387.26053413237
2021-03-01,450891.18418767524,524577.0093086427,480075.64630491997
2021-03-02,450988.67559704295,524754.9084306548,480191.6474302693
2021-03-03,451630.52171207673,525207.2670677738,480776.30781626893
2021-03-04,451656.37717376667,525358.6818420312,480789.9476473106
2021-03-05,451944.0659228153,525334.1526700539,481207.90090012376
2021-03-08,452520.6474504612,525987.6734648452,481794.8846420572
2021-03-09,452158.7284642869,525527.0817022142,481473.24161139614
2021-03-10,451824.91884000145,525241.755028169,481244.82899285364
2021-03-11,450424.4607147197,523943.0147080289,480189.73707505234
2021-03-12,449604.820772714,523307.9369426769,479570.1502686664
2021-03-15,447905.2519408239,521670.90102541517,478139.617204529
2021-03-16,448105.5816821142,521864.5581666274,478271.90387401276
2021-03-17,447067.9482129682,521100.80714917986,477855.6675176659
2021-03-18,450383.59982862574,523771.86859775084,479805.7690565353
2021-03-19,450690.2647486431,524087.8601055952,480274.90769745817
2021-03-22,449824.3660493642,523487.1224661802,479905.0519538222
2021-03-23,450220.48791770067,523569.09000916075,480022.4040130862
2021-03-24,450058.02811062505,523595.0045584808,480027.76549504674
2021-03-25,450006.49573144614,523572.3368345039,480052.3050513126
2021-03-26,450018.8081399686,523777.75260017894,480311.0624137247
2021-03-29,449795.60883249476,523837.5558376686,480266.5124761223
2021-03-30,449785.11677622836,523831.7948068812,480274.4029841772
2021-03-31,449723.55058732553,523892.7116431827,480429.4743375322
2021-04-01,449191.7052678544,523738.23535405437,480703.5236099181
2021-04-05,448200.43311387266,522987.5288811711,480578.0667711243
2021-04-06,447621.2241828941,522562.69157078484,480577.0481588377
2021-04-07,446757.9250627775,522025.6340849332,480425.5448412485
2021-04-08,445477.54548658093,521031.3788918213,480306.00879586424
2021-04-09,443075.6161925823,519326.8518840208,480562.2546081734
2021-04-12,442661.7040946906,518564.87877260806,480476.0791665182
2021-04-13,441850.44490603165,517726.77735442936,480263.3410978388
2021-04-14,442533.31191182265,518366.4878627205,480441.8425235846
2021-04-15,440381.7891728499,515870.31148547906,479865.8548779964
2021-04-16,438835.6603748796,514255.9069528345,479571.6533029947
2021-04-19,440264.1448653078,516042.20333691646,480204.3663376237
2021-04-20,441210.2971840244,517831.128900625,480703.92664700816
2021-04-21,440564.6298162852,516327.59333003714,480229.39125865436
2021-04-22,441721.9586446282,518305.76595697796,480803.03603392054
2021-04-23,441284.5935254308,517109.46501504607,480756.9262849648
2021-04-26,440727.46501641674,516382.4697071877,480519.03241141833
2021-04-27,440723.31270739145,516381.13876987016,480513.88233046734
2021-04-28,440782.0338218955,516338.3907797941,480544.0651803284
2021-04-29,440688.2916992783,515796.2378096392,480420.63848092855
2021-04-30,441063.61876276095,516677.7642289877,480939.1877174363
2021-05-03,441052.4822727925,516277.55689171853,480879.89523787564
2021-05-04,441081.9446621394,516451.7409681948,480926.9931005374
2021-05-05,441205.58974148193,516528.7362055515,481019.70584975777
2021-05-06,440958.4701323822,516400.15115777095,480962.383451976
2021-05-07,440718.2488820862,516528.6543945568,481207.57186792995
2021-05-10,441846.2744461213,516618.7916902265,481188.14709018066
2021-05-11,442066.4339538246,516647.0821193217,481214.0942990594
2021-05-12,442397.7243224835,516552.90557559655,481218.6744785516
2021-05-13,442392.24858765805,516823.3505427907,481368.78210095374
2021-05-14,443247.7182133705,517601.20311473793,482206.75223496795
2021-05-17,443378.42470813845,517892.6585430449,482465.7190160505
2021-05-18,443320.7686397362,518598.44676161837,482487.9567485065
2021-05-19,443693.1879990032,518917.4623500228,482880.0009564749
2021-05-20,443404.1593718275,518454.75268650847,482744.0405122956
2021-05-21,443796.64042177936,518810.5525201477,483195.70854063745
2021-05-24,442958.63118881953,518138.8373869171,482893.23565290764
