date,event,position_key,entry_price,exit_price,quantity,pnl,num_expired
2022-09-14,expiry,Daily Expiry PnL,,,,-1054.0,2.0
2022-09-16,expiry,SPY_447C_20220916,1.52,0.0,4.0,-608.0,
2022-09-16,expiry,Daily Expiry PnL,,,,-608.0,1.0
2022-09-23,expiry,SPY_434C_20220923,1.77,0.0,2.0,-354.0,
2022-09-23,expiry,SPY_433C_20220923,1.975,0.0,2.0,-395.0,
2022-09-23,expiry,SPY_432C_20220923,2.1950000000000003,0.0,2.0,-439.00000000000006,
2022-09-23,expiry,SPY_431C_20220923,2.44,0.0,2.0,-488.0,
2022-09-23,expiry,SPY_430C_20220923,2.7,0.0,2.0,-540.0,
2022-09-23,expiry,SPY_429C_20220923,2.98,0.0,2.0,-596.0,
2022-09-23,expiry,Daily Expiry PnL,,,,-2812.0,6.0
2022-09-28,expiry,SPY_422C_20220928,2.56,0.0,2.0,-512.0,
2022-09-28,expiry,Daily Expiry PnL,,,,-512.0,1.0
2022-10-14,expiry,SPY_414C_20221014,2.705,0.0,2.0,-541.0,
2022-10-14,expiry,SPY_413C_20221014,2.94,0.0,2.0,-588.0,
2022-10-14,expiry,Daily Expiry PnL,,,,-1129.0,2.0
2022-10-19,expiry,SPY_406C_20221019,3.65,0.0,2.0,-730.0,
2022-10-19,expiry,SPY_405C_20221019,3.95,0.0,2.0,-790.0,
2022-10-19,expiry,SPY_404C_20221019,4.265000000000001,0.0,2.0,-853.0000000000001,
2022-10-19,expiry,SPY_402C_20221019,4.955,0.0,2.0,-991.0,
2022-10-19,expiry,Daily Expiry PnL,,,,-3364.0,4.0
2022-12-30,expiry,SPY_428C_20221230,1.63,0.0,2.0,-326.0,
2022-12-30,expiry,SPY_426C_20221230,2.01,0.0,2.0,-401.99999999999994,
2022-12-30,expiry,SPY_425C_20221230,2.225,0.0,2.0,-445.0,
2022-12-30,expiry,SPY_424C_20221230,2.455,0.0,2.0,-491.0,
2022-12-30,expiry,SPY_422C_20221230,2.965,0.0,2.0,-593.0,
2022-12-30,expiry,SPY_420C_20221230,3.5599999999999996,0.0,2.0,-711.9999999999999,
2022-12-30,expiry,SPY_419C_20221230,3.88,0.0,1.0,-388.0,
2022-12-30,expiry,Daily Expiry PnL,,,,-3357.0,7.0
2023-01-06,expiry,SPY_412C_20230106,2.0525,0.0,4.0,-821.0000000000001,
2023-01-06,expiry,SPY_411C_20230106,2.33,0.0,2.0,-466.0,
2023-01-06,expiry,SPY_410C_20230106,2.58,0.0,2.0,-516.0,
2023-01-06,expiry,SPY_409C_20230106,2.825,0.0,2.0,-565.0,
2023-01-06,expiry,SPY_408C_20230106,3.1100000000000003,0.0,2.0,-622.0000000000001,
2023-01-06,expiry,Daily Expiry PnL,,,,-2990.0,5.0
2023-01-13,expiry,SPY_418C_20230113,2.15,0.0,2.0,-430.0,
2023-01-13,expiry,SPY_416C_20230113,2.625,0.0,2.0,-525.0,
2023-01-13,expiry,SPY_415C_20230113,2.885,0.0,2.0,-577.0,
2023-01-13,expiry,SPY_414C_20230113,3.16,0.0,2.0,-632.0,
2023-01-13,expiry,Daily Expiry PnL,,,,-2164.0,4.0
2023-03-03,expiry,SPY_430C_20230303,1.33,0.0,2.0,-266.0,
2023-03-03,expiry,SPY_428C_20230303,1.6949999999999998,0.0,2.0,-338.99999999999994,
2023-03-03,expiry,SPY_426C_20230303,2.16,0.0,2.0,-432.0,
2023-03-03,expiry,SPY_425C_20230303,2.42,0.0,2.0,-484.0,
2023-03-03,expiry,SPY_424C_20230303,2.71,0.0,2.0,-542.0,
2023-03-03,expiry,Daily Expiry PnL,,,,-2063.0,5.0
2023-03-10,expiry,SPY_431C_20230310,1.435,0.0,2.0,-287.0,
2023-03-10,expiry,SPY_430C_20230310,1.615,0.0,2.0,-323.0,
